Creation Date,Status,Service Request Number,License Plate,Vehicle Make/Model,Vehicle Color,Ward
03/01/2020,Completed,20-00022777,BQ79250,Nissan,Gray,23.0
03/01/2020,Completed,20-00022781,554508,Kia Motors Corp,Gold,35.0
03/01/2020,Completed,20-00022780,BF17955,Chevrolet,Maroon,7.0
03/01/2020,Completed,20-00022811,N572174,Lincoln,Green,18.0
03/01/2020,Completed,20-00022771,XXXXXX,Kia Motors Corp,White,39.0
03/01/2020,Completed,20-00022782,2676027-IL,Chevrolet,White,33.0
03/01/2020,Completed,20-00022774,BA33547,Bmw,Gray,15.0
03/01/2020,Completed,20-00022761,NONE,Jeep,Red,1.0
03/01/2020,Completed,20-00022788,ZU91182,Pontiac,Maroon,24.0
03/01/2020,Completed,20-00022766,BW14587,Kia Motors Corp,Black,24.0
